                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6039,                 2.6094,                 1.7167,                0.42028,                0.40357,                0.33232,                0.11097,                 2.6454,                 1.8071,                 1.6946,             0.00065789,             0.00065789,             0.00065789
                      2,                 2.3634,                 1.5995,                 1.4571,                0.44104,                0.45563,                0.41294,                0.15079,                  2.346,                 1.5111,                 1.4544,              0.0013114,              0.0013114,              0.0013114
                      3,                  2.251,                 1.4048,                 1.4237,                0.34932,                0.39448,                0.30324,                0.11182,                 2.3055,                 1.7603,                  1.444,              0.0019518,              0.0019518,              0.0019518
                      4,                  2.177,                 1.3411,                 1.4057,                0.48617,                0.48717,                0.44672,                0.15217,                  2.347,                 1.5108,                 1.5474,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.1479,                  1.316,                 1.4006,                0.51368,                0.52366,                0.49172,                0.20418,                 2.0777,                 1.5128,                 1.3522,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.1446,                 1.3251,                 1.3946,                0.58486,                0.51145,                0.51577,                0.18932,                   2.29,                 1.3624,                 1.4763,               0.001901,               0.001901,               0.001901
                      7,                 2.0873,                 1.2832,                 1.3774,                0.49353,                0.47946,                0.46265,                0.18264,                 2.1672,                 1.4999,                 1.3956,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.0804,                  1.275,                 1.3726,                0.44752,                0.48887,                0.43598,                0.17952,                 2.1566,                 1.8061,                 1.4447,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.0659,                  1.264,                 1.3656,                 0.5684,                0.56225,                0.55928,                0.22202,                 2.1271,                 1.2762,                 1.3982,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.0691,                 1.2662,                 1.3707,                0.41951,                0.47758,                 0.3857,                0.16389,                 2.1475,                 1.9631,                 1.4266,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0483,                 1.2481,                 1.3617,                0.50566,                0.49828,                0.48045,                0.20998,                 2.0336,                 1.4064,                 1.3268,               0.001802,               0.001802,               0.001802
                     12,                 2.0405,                 1.2612,                 1.3678,                0.49785,                0.49012,                0.47264,                0.18539,                 2.1167,                 1.4712,                 1.3792,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.0434,                  1.263,                 1.3665,                0.55945,                0.51991,                0.51956,                0.20964,                 2.1005,                 1.3766,                 1.3893,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.0326,                 1.2461,                 1.3578,                0.53171,                0.52681,                0.51173,                0.20567,                 2.1009,                 1.4198,                 1.4026,              0.0017426,              0.0017426,              0.0017426
                     15,                   2.02,                 1.2329,                 1.3527,                0.56859,                0.56787,                0.57336,                0.23022,                 2.0664,                 1.2899,                 1.3846,              0.0017228,              0.0017228,              0.0017228
                     16,                  2.012,                 1.2343,                 1.3518,                0.55738,                0.53402,                0.54408,                0.23936,                 1.9507,                 1.4521,                 1.3279,               0.001703,               0.001703,               0.001703
                     17,                 2.0059,                 1.2259,                 1.3448,                0.57158,                0.54029,                0.55532,                0.24281,                 1.9594,                 1.3428,                 1.3201,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.0094,                 1.2199,                 1.3411,                0.49032,                0.47883,                0.45464,                0.18997,                 2.0803,                 1.5918,                 1.3652,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.9794,                 1.2175,                 1.3415,                0.53118,                0.52744,                0.49988,                0.20474,                 2.0617,                 1.4632,                 1.3879,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.9725,                 1.2142,                 1.3394,                 0.5325,                0.54092,                 0.5258,                0.22242,                 2.0317,                 1.3384,                 1.3521,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.9642,                 1.1941,                  1.329,                0.56317,                 0.5312,                0.53038,                0.22549,                 2.0274,                 1.3432,                 1.3724,               0.001604,               0.001604,               0.001604
                     22,                  1.978,                 1.2003,                 1.3368,                0.51956,                0.52524,                0.49739,                0.21608,                  2.018,                 1.3883,                 1.3514,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.9622,                 1.1979,                 1.3302,                0.58416,                0.54578,                0.56915,                0.23758,                 2.0162,                 1.3442,                 1.3444,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.9582,                 1.2102,                 1.3329,                0.49379,                0.50674,                 0.4754,                0.20333,                 2.0337,                 1.5621,                 1.3632,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.9575,                 1.1901,                 1.3315,                0.52935,                0.51521,                0.50355,                 0.2128,                 2.0362,                 1.4975,                 1.3565,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.9521,                 1.1957,                   1.32,                0.53966,                 0.5301,                0.53225,                 0.2276,                 1.9855,                 1.3655,                 1.3282,               0.001505,               0.001505,               0.001505
                     27,                 1.9364,                 1.1763,                 1.3213,                0.52959,                0.50706,                0.50555,                0.21336,                 2.0425,                 1.4471,                 1.3519,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.9355,                 1.1857,                 1.3196,                0.57866,                0.58325,                0.58681,                0.25503,                 1.9513,                 1.2749,                 1.3255,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.9475,                 1.1828,                 1.3179,                0.61636,                0.56852,                0.60886,                0.26078,                 1.9836,                 1.2097,                  1.338,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.9181,                 1.1695,                 1.3196,                0.53812,                0.54468,                0.53605,                0.23533,                 1.9766,                 1.3396,                  1.331,              0.0014258,              0.0014258,              0.0014258
                     31,                   1.92,                 1.1615,                  1.312,                0.50688,                0.52378,                0.48623,                0.20111,                 2.0893,                 1.5423,                 1.4099,               0.001406,               0.001406,               0.001406
                     32,                 1.9178,                 1.1588,                 1.3054,                0.54627,                0.55252,                 0.5372,                0.23761,                 1.9605,                 1.3169,                 1.3197,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.9189,                 1.1577,                  1.311,                0.50811,                0.55754,                0.51576,                0.22594,                 1.9817,                 1.4008,                 1.3369,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.9132,                  1.172,                 1.3058,                0.53908,                0.57469,                0.55006,                0.24257,                 1.9652,                 1.3188,                 1.3243,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9035,                 1.1602,                 1.3121,                0.48164,                0.52038,                0.47349,                0.19955,                  2.078,                  1.519,                 1.3741,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9092,                 1.1481,                 1.2959,                 0.5902,                0.57853,                0.59138,                0.25617,                 1.9303,                 1.3095,                 1.2986,               0.001307,               0.001307,               0.001307
                     37,                  1.885,                 1.1453,                 1.3007,                0.60105,                0.56475,                0.58054,                0.26117,                 1.9189,                 1.3143,                  1.309,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.895,                 1.1475,                 1.3036,                0.55852,                0.54124,                0.53879,                0.23492,                 1.9888,                 1.2959,                 1.3264,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.9005,                 1.1467,                 1.2918,                 0.5736,                0.57918,                0.57367,                0.25605,                 1.9063,                 1.2891,                 1.2969,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8951,                 1.1456,                 1.2914,                0.53002,                0.55378,                 0.5357,                0.24181,                  1.949,                 1.3192,                 1.3271,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8808,                 1.1247,                 1.2812,                0.57689,                0.58404,                0.57785,                0.25365,                 1.9508,                 1.2618,                 1.3244,               0.001208,               0.001208,               0.001208
                     42,                 1.8769,                  1.135,                 1.2874,                0.54193,                0.59284,                0.55931,                 0.2387,                 1.9729,                 1.4485,                 1.3188,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8897,                 1.1317,                 1.2893,                0.57269,                 0.5602,                0.56551,                0.24021,                 2.0125,                 1.3516,                 1.3432,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8712,                 1.1261,                 1.2918,                0.54511,                0.55764,                0.54042,                0.23384,                 1.9992,                 1.4822,                 1.3302,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.8694,                 1.1268,                 1.2813,                0.58149,                0.57918,                0.58581,                0.25619,                 1.9567,                 1.2559,                 1.3195,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8588,                 1.1244,                 1.2805,                0.59972,                0.57385,                0.58803,                0.25858,                 1.9501,                 1.2598,                 1.3119,               0.001109,               0.001109,               0.001109
                     47,                 1.8676,                 1.1338,                 1.2864,                0.51935,                0.55127,                0.51705,                0.22127,                 2.0454,                 1.4487,                 1.3759,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.8532,                 1.1083,                 1.2821,                0.62777,                 0.6143,                0.63264,                0.28307,                 1.8835,                 1.2095,                 1.2893,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.8563,                 1.1135,                 1.2794,                0.58024,                0.58908,                0.57586,                0.25688,                 1.9316,                 1.2819,                  1.319,              0.0010496,              0.0010496,              0.0010496
                     50,                   1.85,                 1.1152,                 1.2722,                0.59196,                0.59457,                 0.6012,                0.26667,                 1.9269,                 1.2325,                 1.2953,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.8512,                 1.1091,                 1.2775,                0.54695,                0.55033,                0.54044,                0.23846,                 1.9653,                 1.4003,                 1.3264,                0.00101,                0.00101,                0.00101
                     52,                 1.8495,                 1.1069,                 1.2775,                0.56499,                 0.5682,                0.56338,                0.25551,                 1.9136,                 1.3003,                 1.3073,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.8196,                  1.102,                 1.2733,                0.57547,                0.58106,                0.56725,                0.24841,                 1.9573,                 1.3472,                 1.3274,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.8379,                 1.0993,                 1.2738,                0.57495,                0.58043,                0.57662,                0.25437,                 1.9569,                 1.2773,                 1.3304,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.8199,                 1.0896,                 1.2699,                0.55882,                0.58029,                0.56419,                0.25204,                 1.9399,                 1.3761,                 1.3155,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.8274,                 1.0972,                 1.2712,                0.54441,                0.57197,                0.55399,                 0.2466,                 1.9542,                 1.3215,                 1.3337,               0.000911,               0.000911,               0.000911
                     57,                 1.8259,                 1.0929,                 1.2642,                0.60722,                0.60834,                0.60677,                0.26472,                 1.9511,                 1.2434,                 1.3188,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.8135,                 1.0884,                 1.2633,                0.59489,                0.59799,                0.60797,                0.27727,                 1.8963,                 1.2429,                 1.2916,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.8152,                 1.0823,                 1.2636,                0.57799,                0.57824,                0.57229,                0.25294,                 1.9505,                 1.3441,                 1.3329,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.8061,                 1.0881,                 1.2599,                0.59223,                0.60709,                0.59916,                0.25822,                 1.9904,                 1.2325,                 1.3388,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.8042,                 1.0738,                 1.2583,                0.61626,                0.57636,                0.59576,                0.26541,                 1.9282,                  1.213,                 1.3131,               0.000812,               0.000812,               0.000812
                     62,                 1.8088,                 1.0813,                 1.2628,                0.57836,                 0.5983,                0.59758,                 0.2696,                 1.9227,                 1.2605,                 1.3105,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.8015,                 1.0757,                 1.2535,                0.56045,                0.61242,                0.57907,                0.26034,                 1.9252,                 1.3073,                 1.3205,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.805,                 1.0651,                 1.2579,                0.57527,                0.59705,                0.57958,                0.25847,                 1.9473,                 1.2781,                 1.3352,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.7842,                 1.0684,                 1.2546,                 0.5917,                0.59141,                 0.5894,                0.26179,                 1.9354,                 1.2864,                 1.3317,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.7942,                 1.0769,                 1.2572,                0.58975,                0.58556,                0.59317,                0.27028,                 1.9056,                 1.2872,                 1.3111,               0.000713,               0.000713,               0.000713
                     67,                 1.7903,                 1.0663,                 1.2583,                0.55141,                0.57636,                0.55479,                0.24418,                 1.9665,                 1.3325,                 1.3286,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.7876,                 1.0681,                 1.2519,                0.56572,                0.57719,                0.56785,                0.24974,                 1.9607,                  1.329,                 1.3228,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.7838,                 1.0614,                 1.2496,                0.60109,                0.58137,                0.58868,                0.25115,                  2.001,                 1.3129,                 1.3362,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.7865,                 1.0579,                  1.249,                0.63374,                 0.5936,                0.62225,                0.27084,                 1.9421,                 1.1987,                 1.3059,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.7751,                 1.0497,                 1.2427,                0.59548,                 0.6001,                0.60273,                0.26165,                 1.9646,                 1.2516,                 1.3248,               0.000614,               0.000614,               0.000614
                     72,                 1.7774,                 1.0543,                 1.2431,                0.61187,                0.60176,                0.61133,                0.27494,                 1.9021,                 1.2468,                 1.3098,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.766,                 1.0429,                 1.2431,                0.63388,                0.60709,                0.62831,                0.27733,                 1.9198,                 1.1989,                 1.3109,              0.0005744,              0.0005744,              0.0005744
                     74,                  1.765,                 1.0532,                 1.2443,                0.60431,                0.59912,                0.60725,                0.26774,                 1.9348,                 1.2411,                 1.3183,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.7544,                 1.0405,                 1.2438,                0.60098,                0.59674,                0.59856,                0.25853,                 1.9681,                 1.2567,                 1.3293,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.7617,                 1.0439,                 1.2436,                0.57213,                0.60465,                0.58143,                 0.2628,                 1.9431,                 1.3361,                 1.3444,               0.000515,               0.000515,               0.000515
                     77,                 1.7635,                  1.045,                 1.2451,                0.60376,                0.59674,                0.60577,                 0.2519,                 2.0001,                 1.2516,                 1.3319,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.7507,                 1.0488,                 1.2405,                0.61384,                0.60583,                0.61603,                0.27138,                 1.9292,                 1.2194,                 1.3181,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.7474,                 1.0295,                 1.2349,                0.58531,                0.60677,                 0.6052,                0.26893,                 1.9197,                 1.2446,                 1.3068,              0.0004556,              0.0004556,              0.0004556
                     80,                  1.748,                 1.0294,                 1.2318,                0.58757,                0.59799,                0.59591,                0.26322,                 1.9523,                 1.2617,                 1.3348,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.7455,                 1.0301,                 1.2345,                0.57524,                0.59047,                0.57422,                0.24778,                 1.9997,                 1.2895,                 1.3564,               0.000416,               0.000416,               0.000416
                     82,                 1.7533,                 1.0299,                 1.2305,                0.60574,                0.61091,                0.61794,                0.26881,                 1.9496,                 1.2162,                 1.3236,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.7372,                 1.0261,                 1.2315,                0.57698,                0.60709,                0.57619,                0.25597,                 1.9491,                 1.3033,                 1.3409,              0.0003764,              0.0003764,              0.0003764
